2015/05/02 22:12:04 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_AU 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: Loading user properties from: /usr/share/jmeter/bin/user.properties 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: Loading system properties from: /usr/share/jmeter/bin/system.properties 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: Copyright (c) 1998-2014 The Apache Software Foundation 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: Version 2.11.20140723 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: java.version=1.7.0_79 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: java.vm.name=OpenJDK 64-Bit Server VM 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: os.name=Linux 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: os.arch=amd64 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: os.version=3.16.0-23-generic 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: Default Locale=English (Australia) 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: JMeter  Locale=English (Australia) 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: JMeterHome=/usr/share/jmeter 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: user.dir  =/home/sheryl/thesis/lmsunsw 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: PWD       =/home/sheryl/thesis/lmsunsw 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: ubuntu FullName: ubuntu 
2015/05/02 22:12:05 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/05/02 22:12:05 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/05/02 22:12:05 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/05/02 22:12:05 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2015/05/02 22:12:06 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/05/02 22:12:06 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/05/02 22:12:06 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/05/02 22:12:06 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/05/02 22:12:06 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
